vendor_brand,vendor_sku,vendor_cost,vendor_core_cost,Stock,description,map_price
APW,MAF1102,195.66,0.00,9,Air Flow Sensor-New,
APW,MAF1103,158.89,0.00,4,Air Flow Sensor-New,
APW,MAF1106,157.42,0.00,9,Air Flow Sensor-New,
APW,MAF1108,203.49,0.00,9,Air Flow Sensor-New,
APW,MAF1109,158.18,0.00,9,Air Flow Sensor-New,
APW,MAF1110,224.36,0.00,9,Air Flow Sensor-New,
APW,MAF1112,114.62,0.00,10,Air Flow Sensor-New,
APW,MAF1113,210.00,0.00,9,Air Flow Sensor-New,
APW,MAF1114,152.77,0.00,8,Air Flow Sensor-New,
APW,MAF1115,185.92,0.00,4,Air Flow Sensor-New,
APW,MAF1116,189.91,0.00,5,Air Flow Sensor-New,
APW,MAF1117,129.84,0.00,7,Air Flow Sensor-New,
APW,MAF1118,127.41,0.00,9,Air Flow Sensor-New,
APW,MAF1119,139.61,0.00,8,Air Flow Sensor-New,
APW,MAF1120,134.74,0.00,5,Air Flow Sensor-New,
APW,MAF1121,181.82,0.00,9,Air Flow Sensor-New,
APW,MAF1122,151.13,0.00,8,Air Flow Sensor-New,
APW,MAF1123,112.71,0.00,8,Air Flow Sensor-New,
APW,MAF1124,178.90,0.00,7,Air Flow Sensor-New,
APW,MAF1125,133.93,0.00,9,Air Flow Sensor-New,
APW,MAF1126,139.47,0.00,9,Air Flow Sensor-New,
APW,MAF1127,136.17,0.00,9,Air Flow Sensor-New,
APW,MAF1128,151.16,0.00,8,Air Flow Sensor-New,
APW,MAF1129,149.36,0.00,9,Air Flow Sensor-New,
APW,MAF1130,126.89,0.00,9,Air Flow Sensor-New,
APW,MAF1131,181.48,0.00,6,Air Flow Sensor-New,
APW,MAF1132,206.87,0.00,8,Air Flow Sensor-New,
APW,MAF1133,159.27,0.00,8,Air Flow Sensor-New,
APW,MAF1134,162.13,0.00,9,Air Flow Sensor-New,
APW,MAF1135,151.97,0.00,9,Air Flow Sensor-New,
APW,MAF1136,154.55,0.00,4,Air Flow Sensor-New,
APW,MAF1137,130.70,0.00,9,Air Flow Sensor-New,
APW,MAF1139,158.16,0.00,7,Air Flow Sensor-New,
APW,MAF1140,132.68,0.00,11,Air Flow Sensor-New,
APW,MAF1141,152.45,0.00,2,Air Flow Sensor-New,
APW,MAF1142,150.73,0.00,9,Air Flow Sensor-New,
APW,MAF1147,102.77,0.00,10,Air Flow Sensor-New,
APW,MAF1148,132.61,0.00,10,Air Flow Sensor-New,
APW,MAF1150,180.53,0.00,9,Air Flow Sensor-New,
APW,MAF1151,142.00,0.00,9,Air Flow Sensor-New,
APW,MAF1152,162.25,0.00,6,Air Flow Sensor-New,
APW,MAF1153,190.91,0.00,9,Air Flow Sensor-New,
APW,MAF1157,195.89,0.00,10,Air Flow Sensor-New,
APW,MAF1158,181.00,0.00,9,Air Flow Sensor-New,
APW,MAF1159,141.99,0.00,9,Air Flow Sensor-New,
APW,MAF1160,240.37,0.00,9,Air Flow Sensor-New,
APW,MAF1164,133.65,0.00,6,Air Flow Sensor-New,
APW,MAF1165,154.83,0.00,9,Air Flow Sensor-New,
APW,MAF1166,136.17,0.00,9,Air Flow Sensor-New,
APW,MAF1167,136.17,0.00,9,Air Flow Sensor-New,
APW,MAF1168,136.35,0.00,6,Air Flow Sensor-New,
APW,MAF1169,131.34,0.00,6,Air Flow Sensor-New,
APW,MAF1170,184.55,0.00,9,Air Flow Sensor-New,
APW,MAF1174,114.62,0.00,9,Air Flow Sensor-New,
APW,MAF1175,79.05,0.00,9,Air Flow Sensor-New,
